Gene stable ID	Gene name	NCBI gene ID
WBGene00000408	cdk-7	171784
WBGene00000409	cdk-8	172677
WBGene00000410	cdk-9	173023
WBGene00000411	cdl-1	174659
WBGene00000412	cdr-1	180064
WBGene00000413	cdt-1	171896
WBGene00000414	cec-1	176190
WBGene00000415	ced-1	173064
WBGene00000416	ced-2	176968
WBGene00000417	ced-3	178272
WBGene00000418	ced-4	175643
WBGene00000419	ced-5	177942
WBGene00000420	ced-6	175773
WBGene00000421	ced-7	176352
WBGene00000422	ced-8	184190
WBGene00000423	ced-9	3565776
WBGene00000424	ced-10	177111
WBGene00000425	ced-11	176288
WBGene00000426	ced-12	172890
WBGene00000427	ced-13	191625
WBGene00000428	ceh-1	191614
WBGene00000429	ceh-2	191615
WBGene00000430	ceh-5	191616
WBGene00000431	ceh-6	172640
WBGene00000432	ceh-7	174391
WBGene00000433	ceh-8	191617
WBGene00000434	ceh-9	267057
WBGene00000435	ceh-10	175811
WBGene00000436	ceh-12	172255
WBGene00000437	ceh-13	176069
WBGene00000438	ceh-14	181012
WBGene00000439	ceh-16	191618
WBGene00000440	ceh-17	172059
WBGene00000441	ceh-18	180671
WBGene00000442	ceh-19	177590
WBGene00000443	ceh-20	3565545
WBGene00000444	ceh-21	180504
WBGene00000445	ceh-22	179485
WBGene00000446	ceh-23	176096
WBGene00000447	ceh-24	179877
WBGene00000448	pros-1	176137
WBGene00000449	ceh-27	185853
WBGene00000450	ceh-28	191619
WBGene00000451	ceh-30	191620
WBGene00000452	ceh-31	191621
WBGene00000453	ceh-32	179603
WBGene00000454	ceh-33	191622
WBGene00000455	ceh-34	178919
WBGene00000457	ceh-36	181529
WBGene00000458	ceh-37	181530
WBGene00000459	ceh-38	174136
WBGene00000460	ceh-39	180505
WBGene00000461	ceh-40	191624
WBGene00000462	ceh-41	180503
WBGene00000463	ceh-43	175581
WBGene00000464	ceh-44	175372
WBGene00000465	cpg-1	175586
WBGene00000466	cel-1	172814
WBGene00000467	cep-1	172616
WBGene00000468	ces-1	185718
WBGene00000469	ces-2	173365
WBGene00000472	cey-1	174690
WBGene00000473	cey-2	172219
WBGene00000474	cey-3	172211
WBGene00000475	cey-4	176516
WBGene00000476	cfi-1	188793
WBGene00000477	cft-1	178939
WBGene00000478	cfz-2	178768
WBGene00000479	cgh-1	176061
WBGene00000480	cgp-1	178540
WBGene00000481	cha-1	24105307
WBGene00000482	chd-3	181421
WBGene00000483	che-1	183847
WBGene00000484	che-2	180401
WBGene00000485	che-3	172593
WBGene00000487	che-6	182823
WBGene00000488	che-7	184979
WBGene00000490	che-11	179666
WBGene00000491	che-12	179433
WBGene00000492	che-13	186607
WBGene00000493	che-14	172240
WBGene00000496	chs-1	172508
WBGene00000497	chs-2	173405
WBGene00000498	chk-1	3565921
WBGene00000499	chk-2	180304
WBGene00000500	chn-1	172303
WBGene00000501	cho-1	178274
WBGene00000502	chp-1	172138
WBGene00000503	cht-1	180628
WBGene00000506	cic-1	175357
WBGene00000507	cit-1.1	176125
WBGene00000508	cit-1.2	176126
WBGene00000509	cka-1	177807
WBGene00000510	cka-2	180703
WBGene00000511	ckb-1	181904
WBGene00000512	ckb-2	175565
